yy,gear,flag,lond,latd,alb_mt,alb_no,bet_mt,bet_no,skj_mt,skj_no,yft_mt,yft_no
1952,L,JP,122.50,22.50,0,0,1.270,31,0,0,2.035,80
1952,L,JP,122.50,27.50,0,0,0,0,0,0,0.720,27
1952,L,JP,122.50,32.50,0,0,0,0,0,0,0.002,0
1952,L,JP,127.50,2.50,0.112,8,58.217,1420,0.161,36,258.414,9081
1952,L,JP,127.50,7.50,0.266,19,206.013,5024,0.464,104,242.375,8514
1952,L,JP,127.50,12.50,0.700,50,40.407,986,0.013,3,95.799,3855
1952,L,JP,127.50,17.50,1.232,88,4.672,114,0,0,12.588,499
1952,L,JP,127.50,22.50,0.434,31,2.131,52,0.022,5,24.946,990
1952,L,JP,127.50,27.50,0.336,24,5.318,183,0,0,39.110,1558
1952,L,JP,127.50,32.50,0,0,0,0,0,0,0.103,3
1952,L,JP,132.50,2.50,16.668,1191,259.236,6321,0.366,82,908.077,31955
1952,L,JP,132.50,7.50,1.890,135,417.753,10186,0.232,52,420.603,14800
1952,L,JP,132.50,12.50,1.232,88,39.834,972,0,0,58.189,2322
1952,L,JP,132.50,17.50,0,0,0,0,0,0,6.577,253
1952,L,JP,132.50,22.50,41.314,2952,62.844,1577,0,0,132.762,5244
1952,L,JP,132.50,27.50,705.623,50419,158.816,5763,0.107,24,85.820,3387
1952,L,JP,132.50,32.50,384.042,27441,71.636,1748,0,0,41.868,1501
1952,L,JP,132.50,37.50,0,0,0,0,0,0,0.004,0
1952,L,JP,137.50,-2.50,40.613,2631,83.601,2040,0.138,31,489.122,18378
1952,L,JP,137.50,2.50,55.743,3983,511.072,12470,1.075,241,1985.244,69766
1952,L,JP,137.50,7.50,1.806,129,510.327,12447,0.692,155,457.421,16077
1952,L,JP,137.50,12.50,0,0,0.697,17,0,0,4.686,186
1952,L,JP,137.50,17.50,0.294,21,0,0,0,0,7.651,298
1952,L,JP,137.50,22.50,76.302,5452,122.187,3235,0,0,197.007,7788
1952,L,JP,137.50,27.50,1832.514,130939,190.019,7491,0.125,28,49.820,1964
1952,L,JP,137.50,32.50,910.693,65072,571.806,13953,0.200,45,63.931,2196
1952,L,JP,137.50,37.50,0,0,0,0,0,0,0.001,0
1952,L,JP,142.50,-2.50,6.540,441,48.931,1194,0.071,16,513.056,20355
1952,L,JP,142.50,2.50,14.009,1001,259.491,6332,0.834,187,1292.990,45573
