"yy","gear","flag","eez","alb_mt","bet_mt","skj_mt","yft_mt"
1990,"S","US","I1",0,67.628,476.841,439.898
1990,"S","US","I2",0,1125.316,7538.167,4155.809
1990,"S","US","I4",0,113.48,12505.687,2349.834
1990,"S","US","I5",0,21.323,1784.184,1022.908
1990,"S","US","I7",0,0,22.474,0
1990,"S","US","I8",0,0,0,0
1990,"S","US","ID",0,0,0,0
1990,"S","US","JV",0,0,0,0
1990,"S","US","LN",0,5.743,2124.216,167.422
1990,"S","US","MA",0,0,0,0
1990,"S","US","MH",0,75.776,963.242,1767.509
1990,"S","US","NF",0,0,0,0
1990,"S","US","NR",0,772.343,7264.915,2936.033
1990,"S","US","NZ",0,0,2247.567,0
1990,"S","US","PG",0,723.304,8310.744,4698.701
1990,"S","US","PX",0,126.631,12028.679,5748.159
1990,"S","US","PY",0,1.219,304.143,39.466
1990,"S","US","SB",0,5.293,28.626,27.419
1990,"S","US","TK",0,0,0,0
1990,"S","US","TV",0,23.256,2256.094,670.734
1990,"S","US","VU",0,0.721,11.822,22.504
1990,"S","US","WF",0,0,0,0
1990,"S","US","WS",0,0,0,0
1990,"T","CA","I7",235,0,0,0
1990,"T","FJ","FJ",0,0,18,20
1990,"T","NZ","NZ",2555,0,0,0
1990,"T","PF","PF",299,0,0,0
1990,"T","US","AS",0,0,23,11
1990,"T","US","GU",0,0,67,32
1990,"T","US","I7",3886,0,0,0
1990,"T","US","MP",0,0,68,5
1990,"Z","AU","AU",15,0,0,0
1990,"Z","ID","ID",0,2362,30415,24896
1990,"Z","JP","I6",11731,62,9783,50
1990,"Z","JP","JP",253,42,8454,644
1990,"Z","KI","GL",0,0,0,1812
1990,"Z","NZ","NZ",44,0,116,0
1990,"Z","PF","PF",53,1,56,106
1990,"Z","PH","PH",0,5582,45022,57187
1990,"Z","TW","I6",1859,0,0,0
1990,"Z","TW","TW",0,73,737,2153
1991,"L","AU","AU",224.824792,26.886789,65.67571,804.092387
1991,"L","AU","I7",0.175208,0.113211,0.32429,2.907613
1991,"L","CN","FM",0,11.325,0,9.595
1991,"L","CN","I1",0,4.484,0,3.403
1991,"L","CN","I4",0,73.6435,0,70.337998
1991,"L","CN","I5",0,73.6435,0,70.337998
1991,"L","CN","PW",0,362.904,0,327.326
1991,"L","FJ","FJ",208,123,0,106
1991,"L","FM","FM",0,12,0,11
1991,"L","ID","ID",0,2395,0,10653
1991,"L","JP","AU",831.048989,292.130052,9.79,1180.825038
1991,"L","JP","CN",0.402972,0.838012,0.014,1.552008
1991,"L","JP","FM",11.206007,4578.128891,0,5217.333959
1991,"L","JP","GL",1.220049,107.280137,0,182.123046
1991,"L","JP","H5",0,16.955176,0,36.83852
1991,"L","JP","I1",1.052141,1412.305974,5.425,1521.140156
1991,"L","JP","I2",2.051391,327.341452,0,447.50082
1991,"L","JP","I3",515.953885,1909.379031,9.847,2300.014983
1991,"L","JP","I4",230.222402,5434.645832,0,2700.13084
1991,"L","JP","I5",366.678523,6316.154261,0,2162.898056
1991,"L","JP","I6",8031.598262,9124.342447,6.198,1841.157916
1991,"L","JP","I7",1142.242268,179.167806,0,356.242112
1991,"L","JP","I9",4.709562,11.497556,0,2.490341
1991,"L","JP","ID",0,1.629926,0,0.427077
1991,"L","JP","IW",0,19.560735,0,3.178235
1991,"L","JP","JP",6024.819586,4066.906768,60.494,6264.269852
1991,"L","JP","LN",0,4.199994,0,10.199959
1991,"L","JP","MH",29.807991,1653.115968,0.001,1337.327056
1991,"L","JP","NC",231.934991,10.096121,0,178.377051
1991,"L","JP","NF",3.334993,3.161004,0,3.292081
1991,"L","JP","NZ",348.899985,93.628849,0,6.508056
1991,"L","JP","PF",10.187025,299.381116,0,99.497927
1991,"L","JP","PG",0.396974,0.401971,0.016,1.919001
1991,"L","JP","PW",0.580038,527.241011,0,362.566925
1991,"L","JP","PX",0.280956,19.993005,0,31.499947
1991,"L","JP","SB",64.235042,1409.308966,0,2750.553022
1991,"L","JP","WK",0.098027,0.041026,0,0.078974
1991,"L","KR","CK",9.794,13.995,0.53,12.932
1991,"L","KR","FM",0,5.22,0,11.505
1991,"L","KR","GL",21.695,277.492,0,279.583
1991,"L","KR","H4",22.438,69.038,0.1,93.184
1991,"L","KR","H5",7.907,52.863,0,54.713
1991,"L","KR","I2",9.335,11.043,0.25,68.768
1991,"L","KR","I4",370.430994,5156.5005,4.27,2719.2805
1991,"L","KR","I5",370.430994,5156.5005,4.27,2719.2805
1991,"L","KR","I7",97.434,1.624,0.07,2.615
1991,"L","KR","I8",0.197,0.058,0,0.025
1991,"L","KR","LN",92.453,775.64,0.01,640.341
1991,"L","KR","PF",139.152,672.181,0.05,294.739
1991,"L","KR","PG",2.428,6.619,0,12.288
1991,"L","KR","PX",44.989,304.523,0,423.099
1991,"L","KR","SB",21.694,1.657,0,6.064
1991,"L","KR","TV",67.622,39.046,1.45,81.583
1991,"L","NC","I7",2.093427,0.143003,0,2.56965
1991,"L","NC","I8",3.256438,0.347293,0,0.766085
1991,"L","NC","MA",23.283244,1.797753,0,32.330215
1991,"L","NC","NC",874.853342,57.446374,0,525.610729
1991,"L","NC","WF",5.513549,0.265577,0,5.723315
1991,"L","NZ","I7",4.508021,2.652114,0,0
1991,"L","NZ","NZ",80.491979,41.347886,0,6
1991,"L","PF","PF",100,45,1,118
1991,"L","PH","PH",0,59,0,484
1991,"L","TO","I7",53.65829,0.529692,0.652152,3.085873
1991,"L","TO","TO",117.34171,4.470308,1.347848,15.914127
1991,"L","TW","CK",376.109,53.242,2.63,73.313
1991,"L","TW","FJ",171.484,2.547,0.077,4.616
1991,"L","TW","FM",0,214.633,0,205.266
1991,"L","TW","GL",0,0.699,0,0.67
1991,"L","TW","H4",16.859,6.468,1.03,5.212
1991,"L","TW","H5",7.946,6.16,0.04,9.847
1991,"L","TW","I1",0,2422.098727,448,7278.707724
1991,"L","TW","I2",8.81,1.655,0.06,1.75
1991,"L","TW","I3",0,1038.042312,192,3119.446168
1991,"L","TW","I4",0,892.051981,1.4015,1053.874489
1991,"L","TW","I5",0,892.051981,1.4015,1053.874489
1991,"L","TW","I7",13308,0,0,0.064
1991,"L","TW","I8",17.66,0.381,0.075,3.518
1991,"L","TW","I9",33.726,1.276,0.17,3.666
1991,"L","TW","ID",0,30.853,0,27.008
1991,"L","TW","LN",9.565,15.141,0,2.059
1991,"L","TW","MH",0,28.371,0,19.561
1991,"L","TW","NU",16.943,0.44,0,0.802
1991,"L","TW","PH",0,1.928,0,0.8
1991,"L","TW","PW",0.089,174.575,0,152.12
1991,"L","TW","SB",48.788,17.414,0.015,35.432
1991,"L","TW","VU",88.623,2.972,0.1,11.393
1991,"L","US","AS",1,0,0,0
1991,"L","US","HW",111.987419,850.943459,0,470.46884
1991,"L","US","I5",19.665114,45.150997,0,10.888109
1991,"L","US","I6",181.139858,648.823945,0,261.583575
1991,"L","US","PY",0.207613,11.081614,0,13.059469
1991,"P","AU","AU",0,0,1042,10
1991,"P","FJ","FJ",0,0,4458,368
1991,"P","ID","ID",0,2567,58826,11921
1991,"P","JP","FM",0,26.069995,23708.700369,75.600015
1991,"P","JP","GL",0,0,177.4998,2.00002
1991,"P","JP","H4",0,0,99.161198,0
1991,"P","JP","H5",0,0,370.1334,0
1991,"P","JP","I1",0,5.624031,63.672437,7.388187
1991,"P","JP","I2",0,8.691686,148.116014,20.440738
1991,"P","JP","I3",0,0,1053.824002,12.929394
1991,"P","JP","I4",0,20.246528,7658.073578,14.16075
1991,"P","JP","I5",0,4.090203,9990.661306,9.850952
1991,"P","JP","I6",4397.865528,314.945967,31522.346385,335.055403
1991,"P","JP","I7",0,0,338.818541,0.615678
1991,"P","JP","JP",2705.134472,979.331572,78881.494956,5106.858933
1991,"P","JP","LN",0,0,1054.500483,0.099974
1991,"P","JP","MH",0,2.000004,762.999281,0
1991,"P","JP","PX",0,1.000002,1589.499987,0
1991,"P","JP","SB",0,0,366.499775,1.00001
1991,"P","KI","GL",0,0,157,67
1991,"P","NZ","NZ",9,0,0,0
1991,"P","PF","PF",5,0,1254,251
1991,"P","SB","SB",0,0,35240,953
1991,"P","TV","SB",0,0,23,6
1991,"P","US","HW",0,0,992,20
1991,"S","AU","AU",0,0,1954,0
1991,"S","AU","FM",0,21.611234,747.987598,209.438279
1991,"S","AU","GL",0,0,9.739425,0
1991,"S","AU","H4",0,6.031042,837.590318,58.447896
1991,"S","AU","I1",0,10.755359,256.146812,104.232079
1991,"S","AU","I2",0,9.54915,411.003616,92.5425
1991,"S","AU","PG",0,88.053215,1512.532233,853.339245
1991,"S","FM","FM",0,271.745,2877.617,1213.072
1991,"S","FM","GL",0,0,0,0
1991,"S","FM","GU",0,0,0,0
1991,"S","FM","H4",0,2.742,1181.197,18.575
1991,"S","FM","I1",0,48.242,2249.102,257.998
1991,"S","FM","I2",0,233.021,611.974,1067.776
1991,"S","FM","I3",0,0,0,0
1991,"S","FM","MP",0,0,0,0
1991,"S","FM","PG",0,24.492,53.974,122.206
1991,"S","FM","PX",0,2.165,1063.864,16.234
1991,"S","FM","TV",0,0,0,0
1991,"S","ID","ID",0,995,24762,7439
1991,"S","JP","FM",0,560.999958,73398.999986,19671.000038
1991,"S","JP","H5",0,52.247995,412.81084,253.501255
1991,"S","JP","I1",1582.000008,6100.629582,26476.953132,14944.78551
1991,"S","JP","I2",790.999992,2264.095478,6850.497463,5988.961565
1991,"S","JP","I3",0,26.022952,32.640378,40.055991
1991,"S","JP","I4",0,0,0,0
1991,"S","JP","I5",0,0,0,0
1991,"S","JP","I6",0,163.101967,8628.100461,705.298849
1991,"S","JP","ID",0,0,0,0
1991,"S","JP","JP",279,627.902029,21667.997529,4021.397132
1991,"S","JP","PW",0,7.000039,6616.000211,6645.000175
1991,"S","KR","FM",0,24.59,470.632,188.528
1991,"S","KR","H4",0,0,0,0
1991,"S","KR","I1",0,438.595,7399.012,3219.86
1991,"S","KR","I2",0,13.32,181.029,86.95
1991,"S","KR","ID",0,18.506,743.01,163.066
1991,"S","KR","PG",0,10994.68,129001.763,72748.912
1991,"S","KR","SB",0,58.357,498.437,447.74
1991,"S","NZ","NZ",0,0,5256,0
1991,"S","PH","FM",0,0.095,2.094,2.992
1991,"S","PH","I1",0,4.138,67.767,46.569
1991,"S","PH","I2",0,6.421,31.476,45.74
1991,"S","PH","ID",0,0,0,0
1991,"S","PH","PG",0,2299.14,11899.399,11162.607
1991,"S","PH","PH",0,2629,55237,23222
1991,"S","PH","SB",0,88.005,442.749,413.034
1991,"S","SB","AU",0,0,0,0
1991,"S","SB","SB",0,381.993,5199.331,5113.675
1991,"S","SU","GL",0,10,2601,1104
1991,"S","TW","FM",0,392.07,2621.76,2029.84
1991,"S","TW","H4",0,36.514,138.871,105.554
1991,"S","TW","I1",0,1859.159,14613.889,9496.119
1991,"S","TW","I2",0,10.783,189.957,92.481
1991,"S","TW","I3",0,0,0,0
1991,"S","TW","I4",0,14.18,196.373,105.236
1991,"S","TW","ID",0,2119.211,13542.741,8754.581
1991,"S","TW","MH",0,0,0,0
1991,"S","TW","PG",0,10372.903,63245.237,45650.386
1991,"S","TW","PH",0,0,0,0
1991,"S","TW","PW",0,12.184,209.19,99.877
1991,"S","TW","SB",0,0,0,0
1991,"S","TW","TV",0,9.147,46.662,35.073
1991,"S","US","AS",0,0,0,0
1991,"S","US","AU",0,0,0,0
1991,"S","US","FJ",0,0,0,0
1991,"S","US","FM",0,501.938,12462.423,4097.331
1991,"S","US","GL",0,595.123,20259.221,5800.492
1991,"S","US","GU",0,0,0,0
1991,"S","US","H4",0,72.997,19212.751,642.548
1991,"S","US","H5",0,0,0,0
1991,"S","US","HB",0,7.012,1474.249,55.526
1991,"S","US","I1",0,106.138,3126.364,602.803
1991,"S","US","I2",0,248.778,4267.554,1804.557
1991,"S","US","I3",0,0.833,48.451,3.283
1991,"S","US","I4",0,0,0,0
1991,"S","US","I5",0,0,0,0
1991,"S","US","ID",0,20.672,835.157,105.847
1991,"S","US","JV",0,0,0,0
1991,"S","US","LN",0,0,0,0
1991,"S","US","MH",0,5.411,28.714,29.115
1991,"S","US","MP",0,0,0,0
1991,"S","US","NR",0,211.364,4717.584,927.309
1991,"S","US","NZ",0,0,185.915,0
1991,"S","US","PG",0,1909.534,39999.268,22262.108
1991,"S","US","PH",0,0,0,0
1991,"S","US","PW",0,214.812,9190.243,3738.904
1991,"S","US","PX",0,61.967,17535.545,416.17
1991,"S","US","SB",0,45.015,1222.895,339.525
1991,"S","US","TK",0,106.727,12194.594,1067.951
1991,"S","US","TO",0,0,0,0
1991,"S","US","TV",0,159.738,21047.413,1750.396
1991,"S","US","WF",0,5.859,441.285,62.19
1991,"S","US","WS",0,0.148,1.821,2.38
1991,"T","CA","I7",235,0,0,0
1991,"T","FJ","FJ",0,0,22,13
1991,"T","NZ","NZ",2350,0,0,0
1991,"T","PF","PF",326,0,0,0
1991,"T","US","AS",0,0,19,12
1991,"T","US","GU",0,0,54,20
1991,"T","US","I7",4894,0,0,0
1991,"T","US","MP",0,0,53,6
1991,"Z","AU","AU",20,0,0,0
1991,"Z","ID","ID",0,2416,31106,25462
1991,"Z","JP","I6",3401,293,11131,145
1991,"Z","JP","JP",399,56,8668,1148
1991,"Z","KI","GL",0,0,0,1812
1991,"Z","NZ","NZ",15,0,0,0
1991,"Z","PF","PF",60,1,53,121
1991,"Z","PH","PH",0,6581,39659,67404
1991,"Z","TW","I6",1394,0,0,0
1991,"Z","TW","TW",0,0,960,824
